,COUNTYFP,TRACTCE,GEOID,geometry,Estimated Pop. Under 5,Percent Under 5
17,005,027402,36005027402,"POLYGON ((-73.820232 40.846218, -73.820141 40.84802, -73.816312 40.848551, -73.815674 40.848855, -73.815903 40.848013, -73.81548 40.846513, -73.815666 40.846246, -73.815584 40.846231, -73.815061 40.846495, -73.815008 40.84649, -73.814913 40.846385, -73.814766 40.846258, -73.814692 40.846099, -73.814744 40.845962, -73.815172 40.845709, -73.815014 40.845492, -73.81418 40.845983, -73.813995 40.845809, -73.814976 40.845245, -73.814769 40.845126, -73.814726 40.844379, -73.814407 40.844405, -73.814106 40.844473, -73.813857 40.844484, -73.813694 40.844399, -73.813599 40.844299, -73.813509 40.844098, -73.81346893335862 40.84396967061242, -73.8135167802013 40.8437687277219, -73.81351678020131 40.84376872772186, -73.813757 40.843702, -73.814713 40.843523, -73.814797 40.843507, -73.81508 40.843594, -73.815181 40.843614, -73.815222 40.843644, -73.81524 40.843708, -73.815247 40.84374, -73.815242 40.84375, -73.815257 40.843841, -73.815343 40.843932, -73.815398 40.843972, -73.81554 40.844033, -73.815601 40.844114, -73.815666 40.84422, -73.815792 40.84427, -73.815936 40.844204, -73.816415 40.843963, -73.81654 40.843957, -73.81655 40.843932, -73.81656 40.843831, -73.816611 40.84372, -73.816525 40.843629, -73.816439 40.843523, -73.816459 40.843442, -73.816459 40.843356, -73.816424 40.84327, -73.816313 40.843179, -73.816298 40.843068, -73.816212 40.842967, -73.816279 40.842802, -73.815675 40.842421, -73.815201 40.840581, -73.814737 40.83909, -73.815501 40.838964, -73.816342 40.838031, -73.816369 40.837151, -73.81640718465219 40.83595748484555, -73.817204 40.83574, -73.818046 40.835543, -73.818773 40.837178, -73.819133 40.837669, -73.820461 40.842549, -73.820419 40.843328, -73.820232 40.846218))",202,5.6
18,005,020100,36005020100,"POLYGON ((-73.92974016614797 40.84182372268388, -73.929727 40.841849, -73.929579 40.842047, -73.92962088871012 40.842100444216356, -73.928159 40.845492, -73.923967 40.844795, -73.92354 40.844457, -73.923597 40.84424, -73.923815 40.842886, -73.924848 40.841495, -73.925268 40.840176, -73.926191 40.838512, -73.927092 40.838625, -73.928139 40.838771, -73.928659 40.839802, -73.930406 40.840279, -73.92974016614797 40.84182372268388))",234,6.2
19,061,018300,36061018300,"POLYGON ((-73.973651 40.797149, -73.972257 40.796561, -73.970836 40.795963, -73.969415 40.795361, -73.96987 40.794736, -73.970368 40.794051, -73.970858 40.79338, -73.971316 40.792753, -73.972739 40.793353, -73.974162 40.793952, -73.976233 40.794828, -73.978316 40.795687, -73.976492 40.798289, -73.973651 40.797149))",372,4.3
20,047,059200,36047059200,"POLYGON ((-73.95326 40.592413, -73.9523 40.592514, -73.952699 40.594637, -73.95315 40.597028, -73.952204 40.597131, -73.951006 40.597262, -73.950554 40.594871, -73.950152 40.592754, -73.94975 40.590634, -73.949345 40.588514, -73.950539 40.588383, -73.952454 40.588173, -73.952858 40.590293, -73.95326 40.592413))",329,7.9
21,081,035200,36081035200,"POLYGON ((-73.76343 40.676319, -73.761832 40.679053, -73.76161 40.679738, -73.760945 40.681799, -73.760612 40.682775, -73.760459 40.683263, -73.758881 40.681243, -73.753969 40.684533, -73.753308 40.685021, -73.75097 40.684202, -73.75147 40.683023, -73.751724 40.682377, -73.753238 40.680117, -73.754179 40.678844, -73.755235 40.677288, -73.755494 40.67663, -73.755657 40.676157, -73.755762 40.675886, -73.756108 40.675955, -73.758008 40.676081, -73.760315 40.67511, -73.761149 40.674764, -73.763677 40.674746, -73.76343 40.676319))",192,6.5
22,005,006400,36005006400,"POLYGON ((-73.873954 40.834237, -73.873799 40.835968, -73.871102 40.835755, -73.8709 40.834645, -73.870375 40.832405, -73.870007 40.83082, -73.870903 40.830563, -73.872755 40.830028, -73.873193 40.829905, -73.873694 40.831964, -73.873841 40.832549, -73.873954 40.834237))",232,5.7
23,081,118100,36081118100,"POLYGON ((-73.79076 40.760986, -73.788068 40.761205, -73.785168 40.761433, -73.783392 40.757758, -73.785662 40.757961, -73.787575 40.757898, -73.789428 40.757848, -73.790315 40.757823, -73.79076 40.760986))",136,7.8
24,047,023800,36047023800,"POLYGON ((-73.995617 40.631667, -73.993866 40.633347, -73.991664 40.632016, -73.989462 40.630686, -73.987259 40.629355, -73.988428 40.628231, -73.989009 40.627676, -73.991212 40.629006, -73.993413 40.630336, -73.99546 40.631575, -73.995617 40.631667))",1015,22.2
25,047,010801,36047010801,"POLYGON ((-74.005913 40.642445, -74.00533 40.643006, -74.004747 40.643567, -74.002545 40.642236, -74.003713 40.641116, -74.004877 40.639995, -74.007079 40.641325, -74.005913 40.642445))",131,6.9
26,081,018300,36081018300,"POLYGON ((-73.921512 40.743325, -73.921451 40.743634, -73.921132 40.745224, -73.920798 40.746891, -73.920342 40.749159, -73.918676 40.749488, -73.917456 40.749356, -73.918014 40.746568, -73.918349 40.744901, -73.91873 40.742991, -73.919099 40.741155, -73.920956 40.741362, -73.921883 40.741478, -73.921512 40.743325))",404,7.1
